range_hint,match_id,league,kickoff,home_team,away_team,team,line,selection,model_prob,fair_odds,min_odds_for_edge,odds
C,football_data_544554,LaLiga,2026-05-09 03:00,Levante,Osasuna,Levante,0,Levante AH 0,0.3592,2.784,2.923,
C,football_data_540697,Bundesliga,2026-05-10 21:30,Hamburg,Freiburg,Hamburg,-0.5,Hamburg AH -0.5,0.3591,2.785,2.924,
C,football_data_538141,EPL,2026-05-10 00:30,Man City,Brentford,Man City,-1.5,Man City AH -1.5,0.3583,2.791,2.93,
C,football_data_537173,SerieA,2026-05-10 21:00,Cremonese,Pisa,Cremonese,-0.5,Cremonese AH -0.5,0.3544,2.821,2.963,
C,football_data_537172,SerieA,2026-05-12 02:45,Napoli,Bologna,Bologna,0,Bologna AH 0,0.3535,2.829,2.971,
C,football_data_538138,EPL,2026-05-10 21:00,Burnley,Aston Villa,Burnley,+0.5,Burnley AH +0.5,0.3501,2.856,2.999,
C,football_data_537165,SerieA,2026-05-10 21:00,Fiorentina,Genoa,Fiorentina,-0.5,Fiorentina AH -0.5,0.3493,2.863,3.006,
C,football_data_537155,SerieA,2026-05-05 02:45,Roma,Fiorentina,Fiorentina,+0.5,Fiorentina AH +0.5,0.3483,2.871,3.015,
C,football_data_540701,Bundesliga,2026-05-09 21:30,RB Leipzig,St Pauli,St Pauli,+1,St Pauli AH +1,0.3473,2.879,3.023,
C,football_data_540698,Bundesliga,2026-05-09 21:30,Hoffenheim,Werder Bremen,Werder Bremen,+1,Werder Bremen AH +1,0.3462,2.889,3.033,
C,football_data_537167,SerieA,2026-05-09 21:00,Cagliari,Udinese,Cagliari,-0.5,Cagliari AH -0.5,0.3457,2.892,3.037,
C,football_data_542694,L1,2026-05-11 03:00,Le Havre,Marseille,Marseille,-1,Marseille AH -1,0.3427,2.918,3.064,
C,football_data_542700,L1,2026-05-09 02:45,Lens,Nantes,Nantes,+1.5,Nantes AH +1.5,0.341,2.932,3.079,
C,football_data_544557,LaLiga,2026-05-10 03:00,Sociedad,Betis,Betis,0,Betis AH 0,0.3399,2.942,3.089,
C,football_data_538130,EPL,2026-05-05 03:00,Everton,Man City,Man City,-1,Man City AH -1,0.3394,2.947,3.094,
